Phase-Field
0
2.69727
5.6893
7.63429
9.88512
12.44212
15.28955
18.38965
21.69748
25.20428
28.90597
32.77598
36.78139
40.85072
44.92747
48.93814
52.85653
56.68796
60.42605
64.05832
67.57297
70.96633
74.2241
77.28089
80.10698
82.67411
85.01369
87.14867
89.08006
90.79513
92.31428
93.66127
94.86719
95.94253
96.8645
97.61771
98.20164
98.64926
99.27343
100
